place_fips,place_name,full_fips,county_name,coverage_percentage
3527760,Fruitland CDP,35045,San Juan County,100
3613376,Centereach CDP,36103,Suffolk County,100
3624405,Elwood CDP,36103,Suffolk County,100
4175185,Tutuilla CDP,41059,Umatilla County,100
4260432,Pine Glen CDP,42027,Centre County,100
4671140,Whitehorse CDP,46041,Dewey County,100
5138032,Hollymead CDP,51003,Albemarle County,100
0240670,Knik River CDP,02170,Matanuska-Susitna Borough,100
0463540,San Manuel CDP,04021,Pinal County,100
0607036,Bloomfield CDP,06097,Sonoma County,100
0618982,Desert Center CDP,06065,Riverside County,100
0862220,Pueblo West CDP,08101,Pueblo County,100
1225900,Gibsonton CDP,12057,Hillsborough County,100
1516160,Honaunau-Napoopoo CDP,15001,Hawaii County,100
2178708,Utica CDP,21059,Daviess County,100
2221940,Dulac CDP,22109,Terrebonne Parish,100
2400800,Allen CDP,24045,Wicomico County,100
2403500,Baden CDP,24033,Prince George's County,100
2563620,South Deerfield CDP,25011,Franklin County,100
2644620,Lake Gogebic CDP,26131,Ontonagon County,100
3023865,Elkhorn CDP,30043,Jefferson County,100
3059725,Pray CDP,30067,Park County,100
3274200,Topaz Lake CDP,32005,Douglas County,100
3413395,Clearbrook CDP,34023,Middlesex County,100
3667070,Shirley CDP,36103,Suffolk County,100
3940507,Kinsman Center CDP,39155,Trumbull County,100
4024762,Evening Shade CDP,40135,Sequoyah County,100
4654145,Renner Corner CDP,46099,Minnehaha County,100
4810876,Bruni CDP,48479,Webb County,100
4812334,Camp Swift CDP,48021,Bastrop County,100
5431876,Glen Jean CDP,54019,Fayette County,100
7227190,Esperanza comunidad,72147,Vieques Municipio,100
0212970,Chenega CDP,02063,Chugach Census Area,100
0241210,Kodiak Station CDP,02150,Kodiak Island Borough,100
0242490,Kwigillingok CDP,02050,Bethel Census Area,100
0249530,Minto CDP,02290,Yukon-Koyukuk Census Area,100
0275050,Tanacross CDP,02240,Southeast Fairbanks Census Area,100
0418490,Del Muerto CDP,04001,Apache County,100
0638702,Klamath CDP,06015,Del Norte County,100
0678336,Teviston CDP,06107,Tulare County,100
0949810,Mystic CDP,09011,New London County,100
1951600,Middle Amana CDP,19095,Iowa County,100
3036250,Highwood CDP,30015,Chouteau County,100
3042250,Lame Deer CDP,30087,Rosebud County,100
3619408,Cumberland Head CDP,36019,Clinton County,100
4060750,Proctor CDP,40001,Adair County,100
4865168,Sandia CDP,48249,Jim Wells County,100
4872581,The Homesteads CDP,48251,Johnson County,100
5112264,Calverton CDP,51061,Fauquier County,100
5129136,Fort Hunt CDP,51059,Fairfax County,100
5150136,Matoaca CDP,51041,Chesterfield County,100
0219720,Dot Lake CDP,02240,Southeast Fairbanks Census Area,100
0621880,El Dorado Hills CDP,06017,El Dorado County,100
0637512,Johnsville CDP,06063,Plumas County,100
0644280,Lost Hills CDP,06029,Kern County,100
0646618,Meadow Valley CDP,06063,Plumas County,100
0678715,Timber Cove CDP,06097,Sonoma County,100
1200410,Alafaya CDP,12095,Orange County,100
1262675,St. James City CDP,12071,Lee County,100
1808992,Buffalo CDP,18181,White County,100
2435412,Green Valley CDP,24021,Frederick County,100
2478650,Travilah CDP,24031,Montgomery County,100
3023950,Elliston CDP,30077,Powell County,100
3509035,Brimhall Nizhoni CDP,35031,McKinley County,100
3571510,Seboyeta CDP,35006,Cibola County,100
3605309,Bedford CDP,36119,Westchester County,100
4175500,Tygh Valley CDP,41065,Wasco County,100
5122576,Dinwiddie CDP,51053,Dinwiddie County,100
5158472,Oakton CDP,51059,Fairfax County,100
5374305,Vashon CDP,53033,King County,100
0131024,Grand Bay CDP,01097,Mobile County,100
0218805,Denali Park CDP,02068,Denali Borough,100
0412770,Chinle CDP,04001,Apache County,100
0478400,Utting CDP,04012,La Paz County,100
0967890,Sharon CDP,09005,Litchfield County,100
1259470,Rainbow Springs CDP,12083,Marion County,100
2542180,Monson Center CDP,25013,Hampden County,100
3028150,Fortine CDP,30053,Lincoln County,100
3043830,Little Bitterroot Lake CDP,30029,Flathead County,100
4209896,Buck Run CDP,42107,Schuylkill County,100
5176464,Sugarland Run CDP,51107,Loudoun County,100
0121890,Dunnavant CDP,01117,Shelby County,100
0404880,Avra Valley CDP,04019,Pima County,100
0428195,Golden Valley CDP,04015,Mohave County,100
0668238,San Martin CDP,06085,Santa Clara County,100
1253725,Pace CDP,12113,Santa Rosa County,100
2429000,Forestville CDP,24033,Prince George's County,100
3255400,Paradise Valley CDP,32013,Humboldt County,100
3416278,Cumberland-Hesstown CDP,34011,Cumberland County,100
3560170,Puerto de Luna CDP,35019,Guadalupe County,100
3651517,North Bellmore CDP,36059,Nassau County,100
5117776,Cluster Springs CDP,51083,Halifax County,100
5361000,Salmon Creek CDP,53011,Clark County,100
5656520,Nordic CDP,56023,Lincoln County,100
0254085,Nikolaevsk CDP,02122,Kenai Peninsula Borough,100
0644910,McKinleyville CDP,06023,Humboldt County,100
0879100,Twin Lakes CDP,08001,Adams County,100
1267575,South Miami Heights CDP,12086,Miami-Dade County,100
1539500,Kualapuu CDP,15009,Maui County,100
1833392,Hidden Valley CDP,18029,Dearborn County,100
2032875,Home CDP,20117,Marshall County,100
2034350,Ionia CDP,20089,Jewell County,100
2205210,Bayou Cane CDP,22109,Terrebonne Parish,100
2279310,Wallace Ridge CDP,22025,Catahoula Parish,100
3626121,Flanders CDP,36103,Suffolk County,100
3654056,Noyack CDP,36103,Suffolk County,100
3673715,Thornwood CDP,36119,Westchester County,100
3678575,Water Mill CDP,36103,Suffolk County,100
3729180,Hampstead CDP,37141,Pender County,100
3926110,Fairfield Beach CDP,39045,Fairfield County,100
5337420,Lakeland North CDP,53033,King County,100
5348550,Nespelem Community CDP,53047,Okanogan County,100
0237540,Karluk CDP,02150,Kodiak Island Borough,100
0482450,White Mountain Lake CDP,04017,Navajo County,100
0562660,Sardis CDP,05125,Saline County,100
0634694,Hornbrook CDP,06093,Siskiyou County,100
0638352,Keswick CDP,06089,Shasta County,100
0649582,Mountain House CDP,06077,San Joaquin County,100
0664462,San Antonio Heights CDP,06071,San Bernardino County,100
2421825,Darnestown CDP,24031,Montgomery County,100
2753458,Red Lake CDP,27007,Beltrami County,100
3072850,Swan Lake CDP,30047,Lake County,100
3268800,Stagecoach CDP,32019,Lyon County,100
3479520,Westmont CDP,34007,Camden County,100
3558980,Ponderosa CDP,35043,Sandoval County,100
3577670,Tierra Amarilla CDP,35039,Rio Arriba County,100
3639243,Kennedy CDP,36013,Chautauqua County,100
3680599,West Nyack CDP,36087,Rockland County,100
3927104,Finneytown CDP,39061,Hamilton County,100
4013850,Chewey CDP,40001,Adair County,100
4119020,Deschutes River Woods CDP,41017,Deschutes County,100
4225568,Fellsburg CDP,42129,Westmoreland County,100
4950810,Modena CDP,49021,Iron County,100
5142216,Keswick CDP,51003,Albemarle County,100
5174592,Springfield CDP,51059,Fairfax County,100
5333105,Inchelium CDP,53019,Ferry County,100
5681703,Washam CDP,56037,Sweetwater County,100
0215320,Clam Gulch CDP,02122,Kenai Peninsula Borough,100
0217190,Cooper Landing CDP,02122,Kenai Peninsula Borough,100
0415765,Cordes Lakes CDP,04025,Yavapai County,100
0641278,Lewiston CDP,06105,Trinity County,100
0940150,Kensington CDP,09003,Hartford County,100
0959140,Pawcatuck CDP,09011,New London County,100
1215800,Crystal Springs CDP,12101,Pasco County,100
2264310,Reserve CDP,22095,St. John the Baptist Parish,100
2269225,Shenandoah CDP,22033,East Baton Rouge Parish,100
2342625,Madison CDP,23025,Somerset County,100
2416125,Chester CDP,24035,Queen Anne's County,100
2441025,Huntingtown CDP,24009,Calvert County,100
3387140,Woodsville CDP,33009,Grafton County,100
3404600,Belford CDP,34025,Monmouth County,100
3579700,Truchas CDP,35039,Rio Arriba County,100
4223704,Enhaut CDP,42043,Dauphin County,100
4716060,Coker Creek CDP,47123,Monroe County,100
4770900,Statesville CDP,47189,Wilson County,100
4824158,Emerald Bay CDP,48423,Smith County,100
4829096,Garwood CDP,48089,Colorado County,100
4867664,Shiro CDP,48185,Grimes County,100
5134304,Hampden-Sydney CDP,51147,Prince Edward County,100
5511650,Cable CDP,55007,Bayfield County,100
5640555,Jeffrey City CDP,56013,Fremont County,100
0135512,Hollins CDP,01027,Clay County,100
0175768,Theodore CDP,01097,Mobile County,100
0220716,Eareckson Station CDP,02016,Aleutians West Census Area,100
0465280,Second Mesa CDP,04017,Navajo County,100
0639570,Lake Isabella CDP,06029,Kern County,100
1235300,Jan Phyl Village CDP,12105,Polk County,100
2163804,Rabbit Hash CDP,21015,Boone County,100
2850720,Nellieburg CDP,28075,Lauderdale County,100
3007150,Black Eagle CDP,30013,Cascade County,100
3065537,St. Pierre CDP,30041,Hill County,100
3505150,Arroyo Seco CDP,35055,Taos County,100
3619587,Dalton CDP,36051,Livingston County,100
3903184,Austintown CDP,39099,Mahoning County,100
4004075,Ballou CDP,40097,Mayes County,100
4217440,Crown CDP,42031,Clarion County,100
4776660,Valley Forge CDP,47019,Carter County,100
5152658,Montclair CDP,51153,Prince William County,100
5533150,Hatfield CDP,55053,Jackson County,100
5626055,Farson CDP,56037,Sweetwater County,100
0216750,College CDP,02090,Fairbanks North Star Borough,100
0241610,Kongiganak CDP,02050,Bethel Census Area,100
0576460,Witts Springs CDP,05129,Searcy County,100
0642580,Lone Pine CDP,06027,Inyo County,100
0659503,Rancho Mission Viejo CDP,06059,Orange County,100
1209630,Butler Beach CDP,12109,St. Johns County,100
1575950,Waikapu CDP,15009,Maui County,100
2473325,Solomons CDP,24009,Calvert County,100
3035634,Helena Valley Southeast CDP,30049,Lewis and Clark County,100
3038480,Indian Springs CDP,30053,Lincoln County,100
3408110,Brookdale CDP,34013,Essex County,100
3436150,Johnsonburg CDP,34041,Warren County,100
4050250,Nardin CDP,40071,Kay County,100
4224712,Fairless Hills CDP,42017,Bucks County,100
4229800,Glenshaw CDP,42003,Allegheny County,100
4271160,Slickville CDP,42129,Westmoreland County,100
5669700,Shell CDP,56003,Big Horn County,100
0278350,Tonsina CDP,02066,Copper River Census Area,100
0434980,Icehouse Canyon CDP,04007,Gila County,100
0453350,Parks CDP,04005,Coconino County,100
0469060,Spring Valley CDP,04025,Yavapai County,100
0511080,Canehill CDP,05143,Washington County,100
0644420,Lucerne Valley CDP,06071,San Bernardino County,100
0683794,Weaverville CDP,06105,Trinity County,100
1201125,Alva CDP,12071,Lee County,100
1223050,Florida Ridge CDP,12061,Indian River County,100
2417900,Clinton CDP,24033,Prince George's County,100
2546785,Northborough CDP,25027,Worcester County,100
3422530,Fairton CDP,34011,Cumberland County,100
3452020,New Vernon CDP,34027,Morris County,100
3480720,White House Station CDP,34019,Hunterdon County,100
3772755,Westport CDP,37109,Lincoln County,100
4117800,Damascus CDP,41005,Clackamas County,100
4154325,Oatfield CDP,41005,Clackamas County,100
4226812,Fort Indiantown Gap CDP,42075,Lebanon County,100
4548985,Murrells Inlet CDP,45043,Georgetown County,100
4706640,Bloomingdale CDP,47163,Sullivan County,100
4740560,Lake Tansi CDP,47035,Cumberland County,100
4972060,Spring Glen CDP,49007,Carbon County,100
5117680,Cloverdale CDP,51023,Botetourt County,100
0230500,Gulkana CDP,02066,Copper River Census Area,100
0244580,Livengood CDP,02290,Yukon-Koyukuk Census Area,100
0607470,Bonny Doon CDP,06087,Santa Cruz County,100
0651868,North Fork CDP,06039,Madera County,100
0658870,Prunedale CDP,06053,Monterey County,100
0829625,Genesee CDP,08059,Jefferson County,100
2169258,Sedalia CDP,21083,Graves County,100
2414800,Cedarville CDP,24033,Prince George's County,100
2426600,Essex CDP,24005,Baltimore County,100
2538435,Marblehead CDP,25009,Essex County,100
2684360,Watersmeet CDP,26053,Gogebic County,100
3508180,Bluewater CDP,35031,McKinley County,100
3656212,Pamelia Center CDP,36045,Jefferson County,100
4079150,Wauhillau CDP,40001,Adair County,100
4132400,Harper CDP,41045,Malheur County,100
4153900,Oak Grove CDP,41005,Clackamas County,100
4244672,Lorane CDP,42011,Berks County,100
4568380,Springdale CDP,45057,Lancaster County,100
4655940,Rosebud CDP,46121,Todd County,100
4717520,Counce CDP,47071,Hardin County,100
4860482,Ranchitos Las Lomas CDP,48479,Webb County,100
5129008,Fort Belvoir CDP,51059,Fairfax County,100
5155758,Newington Forest CDP,51059,Fairfax County,100
5323865,Finley CDP,53005,Benton County,100
5408308,Blennerhassett CDP,54107,Wood County,100
0229130,Goldstream CDP,02090,Fairbanks North Star Borough,100
0249200,Mill Bay CDP,02150,Kodiak Island Borough,100
1246225,Molino CDP,12033,Escambia County,100
1274700,Wacissa CDP,12065,Jefferson County,100
1364288,Reed Creek CDP,13147,Hart County,100
1604600,Banks CDP,16015,Boise County,100
1668545,Robie Creek CDP,16015,Boise County,100
2305665,Blue Hill CDP,23009,Hancock County,100
2344620,Mechanic Falls CDP,23001,Androscoggin County,100
2854680,Ovett CDP,28067,Jones County,100
2859520,Porterville CDP,28069,Kemper County,100
3121030,Harrisburg CDP,31007,Banner County,100
3440320,Lincroft CDP,34025,Monmouth County,100
3519920,Datil CDP,35003,Catron County,100
3566540,San Cristobal CDP,35055,Taos County,100
3666102,Searingtown CDP,36059,Nassau County,100
4577042,White Knoll CDP,45063,Lexington County,100
5103000,Arlington CDP,51013,Arlington County,100
5133584,Groveton CDP,51059,Fairfax County,100
5467252,Reader CDP,54103,Wetzel County,100
0173056,Sterrett CDP,01117,Shelby County,100
0282420,Venetie CDP,02290,Yukon-Koyukuk Census Area,100
0500190,Acorn CDP,05113,Polk County,100
0618464,Delhi CDP,06047,Merced County,100
0624897,Forest Meadows CDP,06009,Calaveras County,100
0630900,Greeley Hill CDP,06043,Mariposa County,100
1204162,Bayonet Point CDP,12101,Pasco County,100
1243300,Marion Oaks CDP,12083,Marion County,100
1738726,Joslin CDP,17161,Rock Island County,100
2452562,Milford Mill CDP,24005,Baltimore County,100
3631973,Hankins CDP,36105,Sullivan County,100
3660598,Ransomville CDP,36063,Niagara County,100
4707620,Bowman CDP,47035,Cumberland County,100
4942230,Lake Shore CDP,49049,Utah County,100
0133808,Hazel Green CDP,01089,Madison County,100
0237250,Kalifornsky CDP,02122,Kenai Peninsula Borough,100
0244030,Lime Village CDP,02050,Bethel Census Area,100
0260460,Petersville CDP,02170,Matanuska-Susitna Borough,100
0460120,Rincon Valley CDP,04019,Pima County,100
0637946,Keene CDP,06029,Kern County,100
0639484,Lake Don Pedro CDP,06043,Mariposa County,100
0657829,Plumas Lake CDP,06115,Yuba County,100
0858400,Penrose CDP,08043,Fremont County,100
1536500,Kihei CDP,15009,Maui County,100
1552550,Mokuleia CDP,15003,Honolulu County,100
1558775,Orchidlands Estates CDP,15001,Hawaii County,100
2229990,Good Pine CDP,22059,LaSalle Parish,100
2402275,Arnold CDP,24003,Anne Arundel County,100
2448875,Lutherville CDP,24005,Baltimore County,100
2547590,North Eastham CDP,25001,Barnstable County,100
3063900,Rocky Boy's Agency CDP,30041,Hill County,100
4228144,Fullerton CDP,42077,Lehigh County,100
4263009,Pymatuning Central CDP,42039,Crawford County,100
4275712,Swedeland CDP,42091,Montgomery County,100
4706740,Blountville CDP,47163,Sullivan County,100
4832978,Heartland CDP,48257,Kaufman County,100
4862732,Rock Island CDP,48089,Colorado County,100
5008950,Bristol CDP,50001,Addison County,100
5325510,Freeland CDP,53029,Island County,100
0420680,Dudleyville CDP,04021,Pinal County,100
0678008,Taylorsville CDP,06063,Plumas County,100
0823300,Edwards CDP,08037,Eagle County,100
0985810,Willimantic CDP,09015,Windham County,100
1272521,Tropical Park CDP,12009,Brevard County,100
2150556,Massac CDP,21145,McCracken County,100
2246755,Lydia CDP,22045,Iberia Parish,100
2358970,Pittsfield CDP,23025,Somerset County,100
3928058,Four Bridges CDP,39017,Butler County,100
4112050,Cedar Hills CDP,41067,Washington County,100
4224240,Evansburg CDP,42091,Montgomery County,100
4720930,Dodson Branch CDP,47087,Jackson County,100
5155400,Nellysford CDP,51125,Nelson County,100
5171625,Shawneeland CDP,51069,Frederick County,100
5356170,Prairie Ridge CDP,53053,Pierce County,100
7284509,Utuado zona urbana,72141,Utuado Municipio,100
0286490,Yakutat CDP,02282,Yakutat City and Borough,100
0673178,South Oroville CDP,06007,Butte County,100
1229000,Harold CDP,12113,Santa Rosa County,100
1532700,Kawela Bay CDP,15003,Honolulu County,100
2348050,Naples CDP,23005,Cumberland County,100
2425575,Eldersburg CDP,24013,Carroll County,100
2925264,Fort Leonard Wood CDP,29169,Pulaski County,100
3067150,Seeley Lake CDP,30063,Missoula County,100
3402350,Avenel CDP,34023,Middlesex County,100
3676639,Valhalla CDP,36119,Westchester County,100
3906670,Blacklick Estates CDP,39049,Franklin County,100
4225496,Feasterville CDP,42017,Bucks County,100
4543000,Lugoff CDP,45055,Kershaw County,100
4654750,Richland CDP,46127,Union County,100
4856252,Pawnee CDP,48025,Bee County,100
4859420,Preston CDP,48181,Grayson County,100
4877490,Western Lake CDP,48367,Parker County,100
5115176,Cherry Hill CDP,51153,Prince William County,100
5175504,Stewartsville CDP,51019,Bedford County,100
5439676,Idamay CDP,54049,Marion County,100
5618225,Crowheart CDP,56013,Fremont County,100
0228590,Glacier View CDP,02170,Matanuska-Susitna Borough,100
0476010,Tuba City CDP,04005,Coconino County,100
0630410,Good Hope CDP,06065,Riverside County,100
0806970,Black Forest CDP,08041,El Paso County,100
2458900,Olney CDP,24031,Montgomery County,100
3079935,White Haven CDP,30053,Lincoln County,100
3310820,Center Ossipee CDP,33003,Carroll County,100
3771760,Welcome CDP,37057,Davidson County,100
4226960,Foster Brook CDP,42083,McKean County,100
4240432,Kratzerville CDP,42109,Snyder County,100
4263160,Quentin CDP,42075,Lebanon County,100
5178688,Timberlake CDP,51031,Campbell County,100
5529500,Glen Haven CDP,55043,Grant County,100
5684852,Woods Landing-Jelm CDP,56001,Albany County,100
0227420,Gakona CDP,02066,Copper River Census Area,100
0234790,Igiugig CDP,02164,Lake and Peninsula Borough,100
0271090,Sleetmute CDP,02050,Bethel Census Area,100
0424895,Fort Mohave CDP,04015,Mohave County,100
0653224,Oasis CDP,06065,Riverside County,100
1528250,Kaneohe CDP,15003,Honolulu County,100
3058840,Ponderosa Pines CDP,30031,Gallatin County,100
3423640,Flanders CDP,34027,Morris County,100
3467820,Six Mile Run CDP,34035,Somerset County,100
3608026,Brentwood CDP,36103,Suffolk County,100
3617530,Commack CDP,36103,Suffolk County,100
4005070,Belfonte CDP,40135,Sequoyah County,100
4717300,Cosby CDP,47029,Cocke County,100
5337430,Lakeland South CDP,53033,King County,100
7254882,Mora comunidad,72071,Isabela Municipio,100
0145040,McCalla CDP,01073,Jefferson County,100
0212350,Chase CDP,02170,Matanuska-Susitna Borough,100
0278297,Tolsona CDP,02066,Copper River Census Area,100
0444200,Many Farms CDP,04001,Apache County,100
0445180,Mayer CDP,04025,Yavapai County,100
0535770,Jones Mills CDP,05059,Hot Spring County,100
0639411,Lake Almanor Country Club CDP,06063,Plumas County,100
0681302,University of California-Davis CDP,06113,Yolo County,100
0951420,New Hartford Center CDP,09005,Litchfield County,100
1205025,Bellair-Meadowbrook Terrace CDP,12019,Clay County,100
1208150,Brandon CDP,12057,Hillsborough County,100
1225655,Gateway CDP,12071,Lee County,100
1530300,Kapolei CDP,15003,Honolulu County,100
1825810,Freelandville CDP,18083,Knox County,100
1970995,Saylorville CDP,19153,Polk County,100
2463300,Potomac CDP,24031,Montgomery County,100
2667980,Republic CDP,26103,Marquette County,100
3060450,Rader Creek CDP,30043,Jefferson County,100
3669606,Southport CDP,36015,Chemung County,100
4171250,Sunriver CDP,41017,Deschutes County,100
4251576,Mount Gretna Heights CDP,42075,Lebanon County,100
4412340,Carolina CDP,44009,Washington County,100
4579720,Zion CDP,45067,Marion County,100
4621380,Ferney CDP,46013,Brown County,100
4769740,South Cleveland CDP,47011,Bradley County,100
4801696,Aldine CDP,48201,Harris County,100
4832456,Harper CDP,48171,Gillespie County,100
0611691,Casa de Oro-Mount Helix CDP,06073,San Diego County,100
0632030,Happy Camp CDP,06093,Siskiyou County,100
0636126,Hydesville CDP,06023,Humboldt County,100
0649432,Moskowite Corner CDP,06055,Napa County,100
0657148,Pine Grove CDP,06005,Amador County,100
0663386,Ruth CDP,06105,Trinity County,100
0824235,Ellicott CDP,08041,El Paso County,100
2523840,Fiskdale CDP,25027,Worcester County,100
2612000,Burt CDP,26145,Saginaw County,100
3473170,Towaco CDP,34027,Morris County,100
3546030,McIntosh CDP,35057,Torrance County,100
4030915,Grandview CDP,40021,Cherokee County,100
4162300,River Road CDP,41039,Lane County,100
4277335,Treasure Lake CDP,42033,Clearfield County,100
4282320,Wescosville CDP,42077,Lehigh County,100
4760480,Powell CDP,47093,Knox County,100
5148376,McLean CDP,51059,Fairfax County,100
5164560,Prince George CDP,51149,Prince George County,100
5169472,Rushmere CDP,51093,Isle of Wight County,100
0285610,Wiseman CDP,02290,Yukon-Koyukuk Census Area,100
0442590,Low Mountain CDP,04017,Navajo County,100
0463260,San Jose CDP,04009,Graham County,100
1548050,Makawao CDP,15009,Maui County,100
1852956,New Goshen CDP,18167,Vigo County,100
2468400,Rosedale CDP,24005,Baltimore County,100
2623740,Eagle River CDP,26083,Keweenaw County,100
2653580,Michigan Center CDP,26075,Jackson County,100
4204616,Bear Rocks CDP,42051,Fayette County,100
4253752,New Kingstown CDP,42041,Cumberland County,100
4832612,Hartley CDP,48205,Hartley County,100
4867364,Shelbyville CDP,48419,Shelby County,100
